station_id,datetime,pm25,temperature_c,humidity_pct,wind_speed_mps,hour,month,dayofweek,is_weekend,season,pm25_lag1,pm25_lag24,pm25_roll6,pm25_roll24,target_next_hour_pm25,pollution_risk
06-037-1103,2023-01-02 00:00:00,13.64,2.6,34.3,3.54,0,1,0,0,0,11.54,16.24,15.318333333333333,17.855833333333333,15.38,Moderate
06-037-1103,2023-01-02 01:00:00,15.38,5.5,36.0,4.73,1,1,0,0,0,13.64,14.76,15.266666666666667,17.881666666666664,12.52,Moderate
06-037-1103,2023-01-02 02:00:00,12.52,6.3,42.2,2.78,2,1,0,0,0,15.38,17.02,13.993333333333332,17.694166666666668,16.82,Moderate
06-037-1103,2023-01-02 03:00:00,16.82,4.4,42.7,4.88,3,1,0,0,0,12.52,19.69,14.245,17.574583333333333,15.0,Moderate
06-037-1103,2023-01-02 04:00:00,15.0,6.4,51.9,4.84,4,1,0,0,0,16.82,15.91,14.15,17.536666666666665,16.49,Moderate
06-037-1103,2023-01-02 05:00:00,16.49,3.6,36.8,5.38,5,1,0,0,0,15.0,16.64,14.975000000000001,17.530416666666667,16.5,Moderate
06-037-1103,2023-01-02 06:00:00,16.5,0.8,42.2,2.84,6,1,0,0,0,16.49,21.95,15.451666666666668,17.303333333333335,23.864099999999997,Moderate
06-037-1103,2023-01-02 07:00:00,23.864099999999997,4.2,36.7,1.67,7,1,0,0,0,16.5,22.7,16.865683333333333,17.351837500000002,21.47,Moderate
06-037-1103,2023-01-02 08:00:00,21.47,5.1,39.5,2.58,8,1,0,0,0,23.864099999999997,20.33,18.35735,17.399337499999998,17.48,Moderate
06-037-1103,2023-01-02 09:00:00,17.48,4.4,50.4,3.08,9,1,0,0,0,21.47,21.48,18.46735,17.232670833333334,22.65,Moderate
06-037-1103,2023-01-02 10:00:00,22.65,2.7,36.3,6.0,10,1,0,0,0,17.48,19.44,19.74235,17.366420833333333,17.85,Moderate
06-037-1103,2023-01-02 11:00:00,17.85,1.4,44.9,6.79,11,1,0,0,0,22.65,19.73,19.969016666666665,17.2880875,21.52,Moderate
06-037-1103,2023-01-02 12:00:00,21.52,4.0,44.0,4.02,12,1,0,0,0,17.85,21.6,20.80568333333333,17.284754166666666,16.0,Moderate
06-037-1103,2023-01-02 13:00:00,16.0,6.8,41.9,3.51,13,1,0,0,0,21.52,16.11,19.495,17.280170833333333,17.28,Moderate
06-037-1103,2023-01-02 14:00:00,17.28,7.5,44.6,2.98,14,1,0,0,0,16.0,16.29,18.796666666666667,17.321420833333335,20.61,Moderate
06-037-1103,2023-01-02 15:00:00,20.61,7.4,36.2,4.74,15,1,0,0,0,17.28,18.72,19.31833333333333,17.40017083333333,21.35,Moderate
06-037-1103,2023-01-02 16:00:00,21.35,3.4,50.3,6.78,16,1,0,0,0,20.61,16.97,19.10166666666667,17.582670833333335,19.2,Moderate
06-037-1103,2023-01-02 17:00:00,19.2,2.7,51.6,6.18,17,1,0,0,0,21.35,19.56,19.326666666666664,17.567670833333334,19.71,Moderate
06-037-1103,2023-01-02 18:00:00,19.71,6.0,42.2,5.21,18,1,0,0,0,19.2,17.73,19.025000000000002,17.65017083333333,18.47,Moderate
06-037-1103,2023-01-02 19:00:00,18.47,6.3,54.1,5.18,19,1,0,0,0,19.71,15.69,19.436666666666667,17.766004166666665,19.868000000000002,Moderate
06-037-1103,2023-01-02 20:00:00,19.868000000000002,5.8,40.0,4.75,20,1,0,0,0,18.47,20.16,19.868,17.7538375,14.08,Moderate
06-037-1103,2023-01-02 21:00:00,14.08,1.0,44.0,3.43,21,1,0,0,0,19.868000000000002,15.31,18.779666666666667,17.7025875,14.25,Moderate
